DATE,TXNGSP
1997-01-01,610141.2
1998-01-01,645289.5
1999-01-01,680181.9
2000-01-01,738804.4
2001-01-01,772909.2
2002-01-01,787719.8
2003-01-01,829722.9
2004-01-01,907476.2
2005-01-01,986202.7
2006-01-01,1084171.8
2007-01-01,1178221.1
2008-01-01,1236361.8
2009-01-01,1162971.8
2010-01-01,1237304.0
2011-01-01,1331138.4
2012-01-01,1410447.8
2013-01-01,1500554.3
2014-01-01,1568070.8
2015-01-01,1564374.3
2016-01-01,1567687.1
2017-01-01,1665428.0
2018-01-01,1795635.1
2019-01-01,1843802.7
2020-01-01,1759734.4
